smiles,Egc,Egb,Eib,Ei,Eea,nc,ne,TSb,TSy,YM,permCH4,permCO2,permH2,permO2,permN2,permHe,Eat,LOI,Xc,Xe,Cp,Td,Tg,Tm
[*]NC(=O)C(CCCCCCCCCCCCCCCC)C(=O)N1C(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5cc([*])ccc5C(=O)O)C6)cc4C3=O)cc2C1=O,3.3800983,2.9393756,3.1103976,5.8997602,2.1387577,2.0112228,1.6749487,99.98119,75.05029,2064.1045,0.5376115,6.738244,20.009777,1.8713131,0.48972607,18.203495,-6.0154986,29.68665,38.443333,36.506924,1.2821758,667.3548,512.0557,589.95807
[*]Cc1ccc(N2C(=O)c3ccc(-c4cccc(N5C(=O)c6ccc(-c7ccc(CC(C)(C)CC(C)C[*])cc7)cc6C5=O)c4C#N)cc3C2=O)cc1,3.3074343,2.937093,3.159982,5.807313,2.2183719,2.0128987,1.6747626,95.89484,78.809074,2045.4146,0.48581743,8.571703,25.501646,1.8883479,0.4448912,22.576784,-6.0802956,31.283049,39.593506,36.38876,1.2551626,783.3796,558.3293,642.8683
[*]CCCCCCCC(=O)N1C(=O)c2ccc(-c3ccc(-c4ccc(C5(c6ccc(-c7ccc(S(=O)(=O)CCC[*])cc7)cc6)CCc6ccccc65)cc4)cc3)cc2C1=O,3.3116913,2.80666,3.2775097,5.6845093,2.2843149,1.9896183,1.6662706,89.72665,73.67703,1978.9967,0.3991673,7.7036514,19.427624,1.9624491,0.43878317,17.955744,-6.1329756,29.553312,36.581154,33.356804,1.2005292,726.26056,531.4234,641.16595
[*]c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N=Nc4ccc([N+](=O)[O-])cc4)c(-c4ccc(C5CCC(C([*])(C(F)(F)F)C(F)(F)F)C(C)C5)cc4)c3)c(C)c1)C2=O,3.2762113,3.0092998,3.3748217,5.618804,2.2155387,1.8638774,1.5895754,96.720474,73.56945,1996.4667,0.6257224,13.626868,35.613365,3.522622,0.6643506,33.740074,-6.01656,30.23787,34.978268,35.04349,1.2743623,726.05975,507.26627,574.5732
[*]c1ccc(-c2ccccc2)cc1N1C(=O)c2ccc(-c3cc(C4OC(=O)NC4(C)C)ccc3-c3ccc4c(c3)C(=O)N([*])C4=O)cc2C1=O,3.1315122,2.8045783,3.0288572,5.8784995,2.4062319,1.8724017,1.5986705,96.88095,78.14609,2009.5183,0.41880357,7.332941,20.310041,1.9753728,0.4133724,18.921722,-6.0319963,33.59995,41.060505,37.76253,1.2731571,720.8282,533.8056,599.8503
[*]Nc1ccc(CN2C(=O)c3ccc(-c4ccc(N=Nc5ccc([N+](=O)[O-])cc5)c(-c5ccc(O[*])cc5C)c4)cc3C2=O)cc1,2.973282,2.7118702,3.1545463,5.649941,2.4515648,1.9407983,1.6333035,96.5766,79.67424,2002.9225,0.3407817,8.115263,21.793392,2.1572313,0.39590013,18.877762,-6.084361,29.740639,36.074783,34.72179,1.2500827,744.3112,501.30463,575.286
[*]c1ccc(-c2ccc(-c3ccc(C4CCC(c5ccc(P(=O)(c6ccccc6)c6ccc(-c7ccc8c(c7)C(=O)N([*])C8=O)cc6)cc5)CC4)cc3C)cc2C)cc1,3.689895,3.3842413,3.4498591,6.0455794,2.3312304,1.9021721,1.6014942,81.63209,64.91556,1823.5579,0.48107457,9.012368,21.86327,2.4647589,0.47712207,19.002655,-6.0729647,32.099735,41.815903,38.659206,1.2607214,733.05225,507.09067,599.15686
[*]Oc1ccc2nc(C(=O)c3cccc(-c4cc(C)c(-c5ccc6c(c5)C(=O)N([*])C6=O)c(C)c4)c3)oc2c1,3.522675,3.1259425,3.2738721,6.0479045,2.4783862,2.0031087,1.6545601,87.8793,60.30877,2108.6965,0.7385757,8.839754,21.801807,2.393869,0.69210136,19.584461,-6.0839806,31.37739,39.493977,37.584923,1.2757943,750.85297,528.13385,605.99646
[*]c1ccc(-c2cc(OC)nn2-c2ccc(N=Nc3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3)cc2)c(C(F)(F)F)c1,3.2466888,2.9151227,3.1441233,5.907611,2.4838834,1.9095209,1.6165248,81.59659,66.84924,1699.9374,1.0543368,13.488757,28.140747,3.3721404,1.0986948,25.88823,-6.087309,32.426537,36.403736,34.83361,1.2363901,780.03864,549.28326,617.28326
[*]c1ccc(N2C(=O)c3cccc(-c4ccc(-c5ccc(-c6ccc(C7COC8C([*])COC78)cc6C)cc5)c(C)c4)c3C2=O)cc1,3.3588054,2.9763167,3.2853246,5.9020104,2.3872852,1.9295677,1.6232278,85.019165,67.47707,1727.5042,1.0053742,14.274675,32.00547,3.3914156,0.8694831,29.476236,-6.0700274,30.00213,39.671978,36.400234,1.2428322,755.7736,550.2333,608.1093
